Astringent,Body,Alcoholic,Bitter,Sweet,Sour,Salty,Fruity,Hoppy,Spices,Malty
crips,creamier,gas,cacoa,cantaloupe,culture,,fruited,hallertauer,spicing,doughy
crisps,creaminess,gin,cappuccino,caramel,cultured,,fruitier,hallertaur,vanilla,faro
cleanness,creamy,heat,char,caramelised,delbrueckii,,fruitiness,hallerteau,vanille,fruitcake
cleanest,creams,quad,charred,caramelized,ester,,fruiting,hop,vanillla,fruitcakes
cleanliness,custard,quadrupel,chinook,caramelly,esters,,fruitness,hopped,anis,gingerbread
cleanses,creamyness,quadruple,citra,caramelo,estery,,fruits,hoppier,cinamon,graham
cleansed,crema,quadrupled,cypress,caramely,ferment,,goose,hoppiest,gingery,grain
cleanser,creme,quads,czech,carmel,fermentation,,gooseberries,hoppin,spiceness,grains
cleaned,custardy,rum,cocoa,carmelization,fermentations,,gooseberry,hoppiness,spiceyness,grainy
cleans,dairy,scotch,coffee,carmelized,fermented,,grape,hopping,spicyness,granola
clean,flan,strong,coffees,carmelly,ferments,,grapes,hoppings,vanillas,grits
cleaner,flat,stronger,fuggle,carrot,fruit,,juice,hoppy,ancho,gritty
cleaness,flats,strongest,fuggles,carrots,fruitcake,,juiced,hops,bacon,koji
cleanly,flattened,vodka,golding,chocoalte,fruitcakes,,juices,mosaic,barbecue,koshihikari
cleanse,full,warm,goldings,chocolate,fruited,,juiciness,mosaics,barbecues,malt
cleansing,fullbodied,warmed,java,chocolately,fruitier,,juicy,myrcene,barbeque,malted
crisp,fuller,warmer,hallaertau,chocolates,fruitiness,,lingonberries,palisade,barbeques,maltier
crisper,fullness,warmers,hallartau,chocolatey,fruiting,,maraschino,resin,bbq,maltiness
crisply,fully,warming,hallertau,chocolatiers,fruitness,,plum,resinous,bbqs,malting
crispness,fulsome,warms,hallertauer,chocolaty,fruits,,plums,resins,capsaicin,maltings
crispy,milk,warmth,hallertaur,churro,fruity,,pluots,resiny,cayenne,malto
drys,milkshake,whiskey,hallerteau,cranberries,funk,,pomegranate,saaz,chile,maltose
dry,milky,whiskeys,hop,cranberry,funkiness,,pomegranates,tettanang,chiles,malts
dryer,mouthcoating,whiskies,hopped,date,funky,,prune,tettnang,chili,malty
drying,oil,whisky,hoppier,dates,grapefruit,,raisin,willamette,chilies,molasses
dryness,oils,alchohol,hoppiest,dessert,grapefruits,,raisins,willamettehops,chilis,oat
fresh,oilslick,alcool,hoppin,desserts,kumquat,,raisiny,williamette,chillies,oatmeal
fresher,oily,alchol,hoppiness,doughnut,kumquats,,raspberries,hopy,chillis,oats
freshest,silk,acohol,hopping,doughnuts,lactic,,raspberry,hoppyness,chipotle,pancakes
freshly,silkier,alochol,hoppings,fig,lactics,,rhubarb,mosiac,chipotles,pie
freshness,silkily,alcohal,hoppy,figgy,lacto,,strawberries,tettnanger,cigar,pies
phenals,silkiness,boozey,hops,figs,lactobacilius,,strawberry,earthyness,curries,pumpernickel
phenol,silky,bourbony,mocha,fruit,lactobacillius,,berried,earth,curry,quinoa
phenolic,smooth,burbon,molasses,fruitcake,lactobacillus,,rasberries,earthiness,habanero,rice
phenols,smoothed,boubon,mollasses,fruitcakes,lactose,,mulberries,earthy,habaneros,rye
pith,smoother,esther,mosaic,fruited,lemon,,blackcurrants,forrest,habenero,ryed
pithy,smoothest,esthery,mosaics,fruitier,lemonade,,blackcurrent,foresty,hickory,sourdough
pucker,smoothe,esthers,palisade,fruitiness,lemondrop,,cherrys,pines,jalape,wheat
puckeringly,smoooth,,peel,fruiting,lemongrass,,redcurrant,pine,jalapeno,wheated
puckery,smoothie,,peels,fruitness,lemons,,lingonberry,piney,jalapenos,wheatey
puckers,smoothing,,pith,fruits,lemony,,plumy,piny,peppers,wheatier
puckering,smoothly,,pithy,fruity,lime,,plume,sprucey,serano,wheatly
puckered,smoothness,,resin,fruit,limes,,plummy,sprucy,serrano,wheaty
quench,smooths,,resinous,goose,mandarin,,pluot,earthly,sichuan,moleasses
quenchener,soft,,resins,gooseberries,mandarina,,pruney,earthen,smoke,molassesy
quencher,softened,,resiny,gooseberry,orange,,prunes,grasses,smoked,molassess
quenches,softens,,rind,graham,oranges,,apple,gassy,smokehouse,molases
quenching,softer,,saaz,grape,orangey,,apples,basil,smokemalt,mollases
spritz,softly,,tettanang,grapes,pickled,,bergamot,cilantro,smoker,molassis
spritzy,softness,,tettnang,honey,pickles,,citra,clover,smokestack,molassas
twangy,thick,,willamette,juice,pungency,,citric,clovers,smokey,donuts
twang,thicken,,willamettehops,juiced,pungent,,citron,coriander,smokiness,mapley
tang,thickness,,williamette,juices,rhubarb,,citrus,corriander,smoking,oatiness
tanginess,thin,,zest,juiciness,sauerkraut,,citrusy,herb,smoky,maltness
tangyness,velvet,,zesty,juicy,sauermalt,,clementine,herbaceous,spicier,bisuit
tangy,velvety,,biterness,maple,sour,,grapefruit,herbaceousness,spicy,biscut
tannic,visciole,,bitterniss,melon,sourdough,,grapefruits,herbed,tandoori,buiscuity
tannin,viscosity,,coffe,melons,soured,,kumquat,herbs,tobacco,buscuit
tannins,viscous,,cofee,nectar,souring,,kumquats,lawn,vindaloo,biscuty
tanins,viscuous,,hoppyness,nectarine,sourness,,lemon,lawns,bacony,buscuity
tanin,viscus,,,nectars,sours,,lemonade,mint,barbecued,biscuitiness
mosiac,vicious,,,pineapple,tang,,lemondrop,minty,chilie,bisquity
tettnanger,viscocity,,,raisin,tanginess,,lemongrass,parsley,chilli,breaddy
,viscose,,,raisins,tangy,,lemons,peppermint,cigars,cerealy
,butters,,,raisiny,tart,,lemony,rosemary,jalepeno,cereales
,buttered,,,raspberries,tartness,,lime,saffron,smokes,dough
,cappucino,,,raspberry,vinegars,,limes,sage,smokier,faros
,chewey,,,sugar,wild,,mandarin,spearmint,smokyness,grainey
,chew,,,sugarcane,wildly,,mandarina,spruce,smokeyness,grained
,chews,,,sugaring,wilds,,orange,tea,smokiest,malta
,butteriness,,,sugars,yuzu,,oranges,thistle,tabacco,maltly
,,,,sugary,funked,,orangey,thyme,spicey,maltyness
,,,,sweet,funkyness,,tangelo,ulmaria,pepperoni,oaty
,,,,sweeten,skunkiness,,tangerine,herby,,pancake
,,,,sweetened,funkiest,,yuzu,herbal,,ricey
,,,,sweetener,pickle,,zest,herbacious,,ryes
,,,,sweetening,pungently,,zesty,herbals,,wheats
,,,,sweeter,soury,,tangerines,teas,,wheaties
,,,,sweetest,sourer,,fruitty,chive,,almond
,,,,sweetish,sourest,,fruiter,blooms,,almonds
,,,,sweetly,tarty,,frutiness,blossom,,anjilanaka
,,,,sweetness,tarts,,fruityness,blossoms,,askinosie
,,,,sweets,tartly,,fruittyness,botanical,,brandied
,,,,syrup,vinegar,,clementines,botanicals,,brandy
,,,,syrups,vinegary,,grapefruity,cologne,,brownie
,,,,syrupy,,,grapfruit,daisy,,brownies
,,,,tamarind,,,grapefuit,dandelion,,brulee
,,,,tamarindo,,,lemmon,elderberries,,bruleed
,,,,turbinado,,,limey,elderberry,,butter
,,,,cantelope,,,mandarins,elderflower,,buttery
,,,,carmely,,,orang,evergreen,,butterscotch
,,,,caramal,,,orangy,fern,,cacao
,,,,camel,,,orangeish,flora,,cacoa
,,,,caramels,,,orangish,floral,,cappuccino
,,,,caramell,,,zestiness,florals,,caramel
,,,,carmely,,,apricot,flower,,caramelised
,,,,caramal,,,apricots,flowers,,caramelized
,,,,caramelize,,,banana,flowery,,caramelly
,,,,caramelish,,,bananas,foliage,,caramelo
,,,,caramalized,,,cantaloupe,grass,,caramely
,,,,carmalized,,,cider,grassy,,carmel
,,,,desserty,,,coconut,hibiscus,,carmelization
,,,,,,,ester,holly,,carmelized
,,,,,,,esters,honeysuckle,,carmelly
,,,,,,,estery,lavender,,castanea
,,,,,,,honeydew,perfume,,chestnut
,,,,,,,kiwi,perfumed,,chestnuts
,,,,,,,kiwifruit,rosa,,chocoalte
,,,,,,,kiwis,rose,,chocolate
,,,,,,,koji,roses,,chocolately
,,,,,,,lychee,rosie,,chocolates
,,,,,,,mango,wildflower,,chocolatey
,,,,,,,mangos,wildflowers,,chocolatiers
,,,,,,,melon,bloom,,chocolaty
,,,,,,,melons,florally,,cocoa
,,,,,,,mongo,florality,,coffee
,,,,,,,nectar,floralness,,coffees
,,,,,,,nectarine,sunflower,,dessert
,,,,,,,nectars,perfumey,,desserts
,,,,,,,papaya,perfumes,,espress
,,,,,,,passionfruit,perfumy,,espresso
,,,,,,,peach,rosey,,flan
,,,,,,,peaches,,,frappuccino
,,,,,,,peachyness,,,fudge
,,,,,,,pear,,,fudgey
,,,,,,,pears,,,hazelnut
,,,,,,,pineapple,,,hazelnuts
,,,,,,,pumpkin,,,honey
,,,,,,,pumpkins,,,horchata
,,,,,,,pumpkiny,,,java
,,,,,,,tropical,,,maple
,,,,,,,watermelon,,,mocha
,,,,,,,yams,,,nougat
,,,,,,,cantelope,,,nugget
,,,,,,,nectary,,,nut
,,,,,,,nectarines,,,nuts
,,,,,,,pineapples,,,nuttier
,,,,,,,bannana,,,nuttiness
,,,,,,,bananna,,,nutty
,,,,,,,coconuts,,,oreo
,,,,,,,lychees,,,peanut
,,,,,,,mang,,,peanuted
,,,,,,,mangoes,,,peanuts
,,,,,,,peachy,,,pecan
,,,,,,,pumkin,,,pecans
,,,,,,,tropicals,,,pudding
,,,,,,,topical,,,puddings
,,,,,,,watermelons,,,rich
,,,,,,,,,,richer
,,,,,,,,,,richest
,,,,,,,,,,richly
,,,,,,,,,,richness
,,,,,,,,,,riich
,,,,,,,,,,seed
,,,,,,,,,,seeded
,,,,,,,,,,seeds
,,,,,,,,,,toffee
,,,,,,,,,,walnut
,,,,,,,,,,walnuts
,,,,,,,,,,chocholate
,,,,,,,,,,choclate
,,,,,,,,,,chcolate
,,,,,,,,,,chocolatiness
,,,,,,,,,,coco
,,,,,,,,,,coca
,,,,,,,,,,choco
,,,,,,,,,,coffe
,,,,,,,,,,cofee
,,,,,,,,,,acorns
,,,,,,,,,,acorn
,,,,,,,,,,cinnabon
,,,,,,,,,,chesnut
,,,,,,,,,,express
,,,,,,,,,,expresso
,,,,,,,,,,fudgy
,,,,,,,,,,hazlenut
,,,,,,,,,,nutiness
,,,,,,,,,,nuttyness
,,,,,,,,,,oreos
,,,,,,,,,,seedy
,,,,,,,,,,toffe
,,,,,,,,,,tofee
,,,,,,,,,,toffeeish
